assignment,id,date,time1,ampm
5,28,4/27/2011,8:41,PM
5,57,4/27/2011,8:54,PM
5,42,4/27/2011,8:56,PM
5,58,4/27/2011,9:30,PM
5,38,4/27/2011,9:48,PM
5,9,4/27/2011,10:38,PM
5,24,4/27/2011,11:01,PM
5,63,4/27/2011,11:18,PM
5,35,4/27/2011,11:55,PM
5,62,4/28/2011,12:12,AM
5,8,4/28/2011,12:24,AM
5,51,4/28/2011,1:20,AM
5,29,4/28/2011,2:10,AM
5,52,4/28/2011,2:26,AM
5,6,4/28/2011,3:31,AM
5,43,4/28/2011,3:33,AM
5,56,4/28/2011,4:46,AM
5,33,4/28/2011,6:43,AM
5,40,4/28/2011,6:59,AM
5,40,4/28/2011,7:02,AM
5,31,4/28/2011,7:16,AM
5,53,4/28/2011,7:16,AM
5,47,4/28/2011,7:59,AM
5,45,4/28/2011,8:15,AM
5,45,4/28/2011,8:22,AM
5,13,4/28/2011,8:35,AM
5,26,4/28/2011,8:35,AM
5,26,4/28/2011,8:39,AM
5,41,4/28/2011,8:39,AM
5,55,4/28/2011,8:47,AM
5,46,4/28/2011,8:57,AM
5,49,4/28/2011,9:03,AM
5,12,4/28/2011,11:19,AM
5,21,4/28/2011,1:25,PM
5,4,4/28/2011,4:21,PM
5,7,4/28/2011,6:56,PM
6,prof,5/3/2011,6:49,AM
6,34,5/4/2011,4:39,PM
6,7,5/4/2011,8:03,PM
6,11,5/4/2011,9:06,PM
6,36,5/4/2011,9:57,PM
6,2,5/4/2011,10:46,PM
6,38,5/4/2011,11:02,PM
6,14,5/4/2011,11:03,PM
6,20,5/4/2011,11:11,PM
6,22,5/4/2011,11:17,PM
6,24,5/4/2011,11:18,PM
6,54,5/4/2011,11:31,PM
6,28,5/4/2011,11:31,PM
6,61,5/4/2011,11:44,PM
6,19,5/5/2011,12:02,AM
6,16,5/5/2011,12:15,AM
6,48,5/5/2011,12:22,AM
6,18,5/5/2011,12:24,AM
6,59,5/5/2011,12:40,AM
6,50,5/5/2011,12:46,AM
6,30,5/5/2011,1:06,AM
6,8,5/5/2011,1:18,AM
6,39,5/5/2011,1:41,AM
6,10,5/5/2011,2:05,AM
6,57,5/5/2011,2:07,AM
6,17,5/5/2011,2:14,AM
6,35,5/5/2011,2:15,AM
6,29,5/5/2011,2:22,AM
6,5,5/5/2011,2:35,AM
6,46,5/5/2011,2:52,AM
6,42,5/5/2011,3:00,AM
6,62,5/5/2011,3:03,AM
6,4,5/5/2011,3:18,AM
6,63,5/5/2011,3:21,AM
6,25,5/5/2011,4:08,AM
6,53,5/5/2011,4:18,AM
6,52,5/5/2011,4:41,AM
6,33,5/5/2011,5:01,AM
6,9,5/5/2011,5:16,AM
6,45,5/5/2011,7:31,AM
6,58,5/5/2011,7:31,AM
6,1,5/5/2011,7:50,AM
6,47,5/5/2011,8:07,AM
6,49,5/5/2011,8:16,AM
6,51,5/5/2011,8:18,AM
6,43,5/5/2011,8:25,AM
6,40,5/5/2011,8:29,AM
6,37,5/5/2011,8:29,AM
6,41,5/5/2011,8:40,AM
6,6,5/5/2011,8:48,AM
6,21,5/5/2011,9:12,AM
6,31,5/5/2011,9:15,AM
6,56,5/5/2011,10:37,AM
6,12,5/5/2011,12:00,PM
7,prof,5/11/2011,8:52,AM
7,2,5/11/2011,7:14,PM
7,45,5/11/2011,7:18,PM
7,63,5/11/2011,7:26,PM
7,20,5/11/2011,7:59,PM
7,38,5/11/2011,8:08,PM
7,16,5/11/2011,8:36,PM
7,28,5/11/2011,9:09,PM
7,47,5/11/2011,9:12,PM
7,35,5/11/2011,9:24,PM
7,22,5/11/2011,10:06,PM
7,24,5/11/2011,10:11,PM
7,19,5/11/2011,10:39,PM
7,29,5/11/2011,10:44,PM
7,7,5/11/2011,10:50,PM
7,18,5/11/2011,11:06,PM
7,54,5/11/2011,11:15,PM
7,61,5/11/2011,11:32,PM
7,34,5/11/2011,11:32,PM
7,50,5/11/2011,11:57,PM
7,8,5/11/2011,11:58,PM
7,11,5/12/2011,12:05,AM
7,42,5/12/2011,12:14,AM
7,5,5/12/2011,12:53,AM
7,59,5/12/2011,1:20,AM
7,39,5/12/2011,1:28,AM
7,51,5/12/2011,1:30,AM
7,46,5/12/2011,1:41,AM
7,10,5/12/2011,1:53,AM
7,62,5/12/2011,2:26,AM
7,17,5/12/2011,3:01,AM
7,25,5/12/2011,3:48,AM
7,30,5/12/2011,3:57,AM
7,9,5/12/2011,3:59,AM
7,13,5/12/2011,4:19,AM
7,48,5/12/2011,4:22,AM
7,36,5/12/2011,4:34,AM
7,52,5/12/2011,6:05,AM
7,43,5/12/2011,6:26,AM
7,40,5/12/2011,8:24,AM
7,37,5/12/2011,8:35,AM
7,53,5/12/2011,8:42,AM
7,57,5/12/2011,8:45,AM
7,58,5/12/2011,8:54,AM
7,41,5/12/2011,9:00,AM
7,49,5/12/2011,9:02,AM
7,6,5/12/2011,9:05,AM
7,4,5/12/2011,9:09,AM
7,31,5/12/2011,9:24,AM
7,23,5/12/2011,9:28,AM
7,49,5/12/2011,9:40,AM
7,49,5/12/2011,9:42,AM
7,60,5/12/2011,10:35,AM
7,55,5/12/2011,11:29,AM
7,12,5/12/2011,11:58,AM
7,21,5/15/2011,11:37,PM
7,1,5/16/2011,6:40,PM
8,prof,5/17/2011,8:40,AM
8,18,5/17/2011,3:50,PM
8,7,5/17/2011,5:08,PM
8,2,5/17/2011,10:02,PM
8,61,5/18/2011,12:05,AM
8,16,5/18/2011,4:58,PM
8,20,5/18/2011,8:37,PM
8,22,5/18/2011,9:52,PM
8,19,5/18/2011,11:18,PM
8,28,5/18/2011,11:28,PM
